Gene stable ID	Gene name	Gene description	Gene type	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSG00000136869	TLR4	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	protein_coding	9	117704175	117724730	1
ENSG00000136870	ZNF189	zinc finger protein 189 [Source:HGNC Symbol;Acc:HGNC:12980]	protein_coding	9	101398873	101410660	1
ENSG00000136874	STX17	syntaxin 17 [Source:HGNC Symbol;Acc:HGNC:11432]	protein_coding	9	99906633	99970341	1
ENSG00000136875	PRPF4	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	protein_coding	9	113275343	113292905	1
ENSG00000136877	FPGS	folylpolyglutamate synthase [Source:HGNC Symbol;Acc:HGNC:3824]	protein_coding	9	127794597	127814327	1
ENSG00000136878	USP20	ubiquitin specific peptidase 20 [Source:HGNC Symbol;Acc:HGNC:12619]	protein_coding	9	129834698	129881838	1
ENSG00000136888	ATP6V1G1	ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]	protein_coding	9	114587746	114598373	1
ENSG00000136891	TEX10	testis expressed 10 [Source:HGNC Symbol;Acc:HGNC:25988]	protein_coding	9	100302077	100352939	-1
ENSG00000136895	GARNL3	GTPase activating Rap/RanGAP domain like 3 [Source:HGNC Symbol;Acc:HGNC:25425]	protein_coding	9	127224265	127393660	1
ENSG00000136897	MRPL50	mitochondrial ribosomal protein L50 [Source:HGNC Symbol;Acc:HGNC:16654]	protein_coding	9	101387633	101398614	-1
ENSG00000136908	DPM2	dolichyl-phosphate mannosyltransferase subunit 2, regulatory [Source:HGNC Symbol;Acc:HGNC:3006]	protein_coding	9	127935099	127938484	-1
ENSG00000136925	TSTD2	thiosulfate sulfurtransferase like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30087]	protein_coding	9	97600080	97633575	-1
ENSG00000136928	GABBR2	gamma-aminobutyric acid type B receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:4507]	protein_coding	9	98288082	98709197	-1
ENSG00000136930	PSMB7	proteasome subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:9544]	protein_coding	9	124353466	124415444	-1
ENSG00000136932	TRMO	tRNA methyltransferase O [Source:HGNC Symbol;Acc:HGNC:30967]	protein_coding	9	97904489	97922570	-1
ENSG00000136933	RABEPK	Rab9 effector protein with kelch motifs [Source:HGNC Symbol;Acc:HGNC:16896]	protein_coding	9	125200542	125234158	1
ENSG00000136935	GOLGA1	golgin A1 [Source:HGNC Symbol;Acc:HGNC:4424]	protein_coding	9	124878357	124948492	-1
ENSG00000136936	XPA	XPA, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12814]	protein_coding	9	97674909	97697357	-1
ENSG00000136937	NCBP1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	protein_coding	9	97633626	97673748	1
ENSG00000136938	ANP32B	acidic nuclear phosphoprotein 32 family member B [Source:HGNC Symbol;Acc:HGNC:16677]	protein_coding	9	97983361	98015943	1
ENSG00000136940	PDCL	phosducin like [Source:HGNC Symbol;Acc:HGNC:8770]	protein_coding	9	122798389	122828631	-1
ENSG00000136942	RPL35	ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]	protein_coding	9	124857880	124861981	-1
ENSG00000136950	ARPC5L	actin related protein 2/3 complex subunit 5 like [Source:HGNC Symbol;Acc:HGNC:23366]	protein_coding	9	124862130	124877733	1
ENSG00000136960	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357]	protein_coding	8	119557086	119673453	-1
ENSG00000136982	DSCC1	DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]	protein_coding	8	119833976	119856010	-1
ENSG00000136986	DERL1	derlin 1 [Source:HGNC Symbol;Acc:HGNC:28454]	protein_coding	8	123013164	123042423	-1
ENSG00000136997	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	protein_coding	8	127735434	127741434	1
ENSG00000136999	NOV	nephroblastoma overexpressed [Source:HGNC Symbol;Acc:HGNC:7885]	protein_coding	8	119416306	119424353	1
ENSG00000137033	IL33	interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]	protein_coding	9	6215786	6257983	1
ENSG00000137038	DMAC1	distal membrane arm assembly complex 1 [Source:HGNC Symbol;Acc:HGNC:30536]	protein_coding	9	7796490	7888380	-1
ENSG00000137040	RANBP6	RAN binding protein 6 [Source:HGNC Symbol;Acc:HGNC:9851]	protein_coding	9	6011043	6015625	-1
ENSG00000137054	POLR1E	RNA polymerase I subunit E [Source:HGNC Symbol;Acc:HGNC:17631]	protein_coding	9	37485935	37503697	1
ENSG00000137055	PLAA	phospholipase A2 activating protein [Source:HGNC Symbol;Acc:HGNC:9043]	protein_coding	9	26904083	26947463	-1
ENSG00000137070	IL11RA	interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]	protein_coding	9	34650702	34661892	1
ENSG00000137073	UBAP2	ubiquitin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:14185]	protein_coding	9	33921693	34048949	-1
ENSG00000137074	APTX	aprataxin [Source:HGNC Symbol;Acc:HGNC:15984]	protein_coding	9	32972606	33025168	-1
ENSG00000137075	RNF38	ring finger protein 38 [Source:HGNC Symbol;Acc:HGNC:18052]	protein_coding	9	36336396	36487548	-1
ENSG00000137076	TLN1	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]	protein_coding	9	35696948	35732395	-1
ENSG00000137094	DNAJB5	DnaJ heat shock protein family (Hsp40) member B5 [Source:HGNC Symbol;Acc:HGNC:14887]	protein_coding	9	34989641	34998900	1
ENSG00000137098	SPAG8	sperm associated antigen 8 [Source:HGNC Symbol;Acc:HGNC:14105]	protein_coding	9	35808045	35812272	-1
ENSG00000137100	DCTN3	dynactin subunit 3 [Source:HGNC Symbol;Acc:HGNC:2713]	protein_coding	9	34613545	34620523	-1
ENSG00000137101	CD72	CD72 molecule [Source:HGNC Symbol;Acc:HGNC:1696]	protein_coding	9	35609533	35646810	-1
ENSG00000137103	TMEM8B	transmembrane protein 8B [Source:HGNC Symbol;Acc:HGNC:21427]	protein_coding	9	35814451	35865518	1
ENSG00000137106	GRHPR	glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]	protein_coding	9	37422666	37436990	1
ENSG00000137124	ALDH1B1	aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]	protein_coding	9	38392664	38398661	1
ENSG00000137133	HINT2	histidine triad nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18344]	protein_coding	9	35812960	35815354	-1
ENSG00000137135	ARHGEF39	Rho guanine nucleotide exchange factor 39 [Source:HGNC Symbol;Acc:HGNC:25909]	protein_coding	9	35658875	35675866	-1
ENSG00000137145	DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]	protein_coding	9	19230435	19373545	1
ENSG00000137154	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	protein_coding	9	19375715	19380254	-1
ENSG00000137161	CNPY3	canopy FGF signaling regulator 3 [Source:HGNC Symbol;Acc:HGNC:11968]	protein_coding	6	42929192	42939287	1
ENSG00000137166	FOXP4	forkhead box P4 [Source:HGNC Symbol;Acc:HGNC:20842]	protein_coding	6	41546426	41602384	1
ENSG00000137168	PPIL1	peptidylprolyl isomerase like 1 [Source:HGNC Symbol;Acc:HGNC:9260]	protein_coding	6	36854827	36875024	-1
ENSG00000137171	KLC4	kinesin light chain 4 [Source:HGNC Symbol;Acc:HGNC:21624]	protein_coding	6	43040777	43075099	1
ENSG00000137177	KIF13A	kinesin family member 13A [Source:HGNC Symbol;Acc:HGNC:14566]	protein_coding	6	17759183	17987623	-1
ENSG00000137185	ZSCAN9	zinc finger and SCAN domain containing 9 [Source:HGNC Symbol;Acc:HGNC:12984]	protein_coding	6	28224886	28233482	1
ENSG00000137193	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	protein_coding	6	37170203	37175426	1
ENSG00000137198	GMPR	guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]	protein_coding	6	16238580	16295549	1
ENSG00000137200	CMTR1	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]	protein_coding	6	37433219	37482827	1
ENSG00000137203	TFAP2A	transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]	protein_coding	6	10393186	10419659	-1
ENSG00000137207	YIPF3	Yip1 domain family member 3 [Source:HGNC Symbol;Acc:HGNC:21023]	protein_coding	6	43511827	43516990	-1
ENSG00000137210	TMEM14B	transmembrane protein 14B [Source:HGNC Symbol;Acc:HGNC:21384]	protein_coding	6	10747759	10852753	1
ENSG00000137216	TMEM63B	transmembrane protein 63B [Source:HGNC Symbol;Acc:HGNC:17735]	protein_coding	6	44126914	44155519	1
ENSG00000137218	FRS3	fibroblast growth factor receptor substrate 3 [Source:HGNC Symbol;Acc:HGNC:16970]	protein_coding	6	41770176	41786542	-1
ENSG00000137221	TJAP1	tight junction associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17949]	protein_coding	6	43477523	43506556	1
ENSG00000137265	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	protein_coding	6	391739	411447	1
ENSG00000137266	SLC22A23	solute carrier family 22 member 23 [Source:HGNC Symbol;Acc:HGNC:21106]	protein_coding	6	3268962	3457022	-1
ENSG00000137267	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	protein_coding	6	3153669	3157526	-1
ENSG00000137269	LRRC1	leucine rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14307]	protein_coding	6	53794497	53924121	1
ENSG00000137273	FOXF2	forkhead box F2 [Source:HGNC Symbol;Acc:HGNC:3810]	protein_coding	6	1389576	1395603	1
ENSG00000137274	BPHL	biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]	protein_coding	6	3118374	3153578	1
ENSG00000137275	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	protein_coding	6	3063991	3115187	1
ENSG00000137285	TUBB2B	tubulin beta 2B class IIb [Source:HGNC Symbol;Acc:HGNC:30829]	protein_coding	6	3224261	3231730	-1
ENSG00000137288	UQCC2	ubiquinol-cytochrome c reductase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:21237]	protein_coding	6	33694293	33711727	-1
ENSG00000137309	HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]	protein_coding	6	34236873	34246231	1
ENSG00000137310	TCF19	transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11629]	protein_coding	6	31158542	31167159	1
ENSG00000137312	FLOT1	flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]	protein_coding	6	30727709	30742733	-1
ENSG00000137331	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	protein_coding	6	30743199	30744554	-1
ENSG00000137337	MDC1	mediator of DNA damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]	protein_coding	6	30699807	30717889	-1
ENSG00000137338	PGBD1	piggyBac transposable element derived 1 [Source:HGNC Symbol;Acc:HGNC:19398]	protein_coding	6	28281572	28302549	1
ENSG00000137343	ATAT1	alpha tubulin acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21186]	protein_coding	6	30626842	30646823	1
ENSG00000137364	TPMT	thiopurine S-methyltransferase [Source:HGNC Symbol;Acc:HGNC:12014]	protein_coding	6	18128311	18155074	-1
ENSG00000137393	RNF144B	ring finger protein 144B [Source:HGNC Symbol;Acc:HGNC:21578]	protein_coding	6	18387350	18468874	1
ENSG00000137404	NRM	nurim [Source:HGNC Symbol;Acc:HGNC:8003]	protein_coding	6	30688047	30691420	-1
ENSG00000137409	MTCH1	mitochondrial carrier 1 [Source:HGNC Symbol;Acc:HGNC:17586]	protein_coding	6	36968141	36986298	-1
ENSG00000137411	VARS2	valyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21642]	protein_coding	6	30908242	30926459	1
ENSG00000137413	TAF8	TATA-box binding protein associated factor 8 [Source:HGNC Symbol;Acc:HGNC:17300]	protein_coding	6	42050513	42087461	1
ENSG00000137414	FAM8A1	family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372]	protein_coding	6	17600355	17611719	1
ENSG00000137449	CPEB2	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	protein_coding	4	15002674	15070153	1
ENSG00000137462	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	protein_coding	4	153684070	153705702	1
ENSG00000137463	MGARP	mitochondria localized glutamic acid rich protein [Source:HGNC Symbol;Acc:HGNC:29969]	protein_coding	4	139266163	139280338	-1
ENSG00000137478	FCHSD2	FCH and double SH3 domains 2 [Source:HGNC Symbol;Acc:HGNC:29114]	protein_coding	11	72836745	73142261	-1
ENSG00000137486	ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]	protein_coding	11	75264182	75351705	-1
ENSG00000137492	THAP12	THAP domain containing 12 [Source:HGNC Symbol;Acc:HGNC:9440]	protein_coding	11	76349956	76380971	-1
ENSG00000137494	ANKRD42	ankyrin repeat domain 42 [Source:HGNC Symbol;Acc:HGNC:26752]	protein_coding	11	83193739	83260694	1
ENSG00000137496	IL18BP	interleukin 18 binding protein [Source:HGNC Symbol;Acc:HGNC:5987]	protein_coding	11	71998541	72005715	1
ENSG00000137497	NUMA1	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]	protein_coding	11	72002864	72080693	-1
ENSG00000137500	CCDC90B	coiled-coil domain containing 90B [Source:HGNC Symbol;Acc:HGNC:28108]	protein_coding	11	83259097	83286407	-1
ENSG00000137501	SYTL2	synaptotagmin like 2 [Source:HGNC Symbol;Acc:HGNC:15585]	protein_coding	11	85694224	85811159	-1
ENSG00000137502	RAB30	RAB30, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9770]	protein_coding	11	82973133	83071923	-1
ENSG00000137504	CREBZF	CREB/ATF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:24905]	protein_coding	11	85659708	85682908	-1
ENSG00000137507	LRRC32	leucine rich repeat containing 32 [Source:HGNC Symbol;Acc:HGNC:4161]	protein_coding	11	76657524	76670747	-1
ENSG00000137509	PRCP	prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344]	protein_coding	11	82823502	82970584	-1
ENSG00000137513	NARS2	asparaginyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26274]	protein_coding	11	78435961	78574874	-1
ENSG00000137522	RNF121	ring finger protein 121 [Source:HGNC Symbol;Acc:HGNC:21070]	protein_coding	11	71928701	71997597	1
ENSG00000137547	MRPL15	mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]	protein_coding	8	54135210	54147901	1
ENSG00000137563	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	protein_coding	8	63015079	63039171	-1
ENSG00000137573	SULF1	sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]	protein_coding	8	69466624	69660915	1
ENSG00000137574	TGS1	trimethylguanosine synthase 1 [Source:HGNC Symbol;Acc:HGNC:17843]	protein_coding	8	55773142	55825448	1
ENSG00000137575	SDCBP	syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]	protein_coding	8	58552924	58582860	1
ENSG00000137601	NEK1	NIMA related kinase 1 [Source:HGNC Symbol;Acc:HGNC:7744]	protein_coding	4	169392857	169612629	-1
ENSG00000137628	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	protein_coding	4	168216293	168318807	-1
ENSG00000137656	BUD13	BUD13 homolog [Source:HGNC Symbol;Acc:HGNC:28199]	protein_coding	11	116748170	116772988	-1
ENSG00000137672	TRPC6	transient receptor potential cation channel subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:12338]	protein_coding	11	101451564	101872562	-1
ENSG00000137691	C11orf70	chromosome 11 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:28188]	protein_coding	11	102047443	102084560	1
ENSG00000137692	DCUN1D5	defective in cullin neddylation 1 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28409]	protein_coding	11	103062076	103092215	-1
ENSG00000137693	YAP1	Yes associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16262]	protein_coding	11	102110461	102233423	1
ENSG00000137700	SLC37A4	solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]	protein_coding	11	119024114	119030906	-1
ENSG00000137710	RDX	radixin [Source:HGNC Symbol;Acc:HGNC:9944]	protein_coding	11	109864295	110296722	-1
ENSG00000137713	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]	protein_coding	11	111726908	111766427	-1
ENSG00000137714	FDX1	ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]	protein_coding	11	110429883	110464881	1
ENSG00000137720	C11orf1	chromosome 11 open reading frame 1 [Source:HGNC Symbol;Acc:HGNC:1163]	protein_coding	11	111878935	111885975	1
ENSG00000137727	ARHGAP20	Rho GTPase activating protein 20 [Source:HGNC Symbol;Acc:HGNC:18357]	protein_coding	11	110577042	110713189	-1
ENSG00000137752	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	protein_coding	11	105025443	105035250	-1
ENSG00000137760	ALKBH8	alkB homolog 8, tRNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:25189]	protein_coding	11	107502726	107565746	-1
ENSG00000137764	MAP2K5	mitogen-activated protein kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6845]	protein_coding	15	67542709	67807123	1
ENSG00000137767	SQOR	sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390]	protein_coding	15	45631148	45691294	1
ENSG00000137770	CTDSPL2	CTD small phosphatase like 2 [Source:HGNC Symbol;Acc:HGNC:26936]	protein_coding	15	44427234	44529038	1
ENSG00000137776	SLTM	SAFB like transcription modulator [Source:HGNC Symbol;Acc:HGNC:20709]	protein_coding	15	58879045	58933653	-1
ENSG00000137801	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	protein_coding	15	39581079	39599466	1
ENSG00000137802	MAPKBP1	mitogen-activated protein kinase binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29536]	protein_coding	15	41774434	41827855	1
ENSG00000137804	NUSAP1	nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18538]	protein_coding	15	41332694	41381050	1
ENSG00000137806	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18828]	protein_coding	15	41387349	41402519	-1
ENSG00000137807	KIF23	kinesin family member 23 [Source:HGNC Symbol;Acc:HGNC:6392]	protein_coding	15	69414246	69448427	1
ENSG00000137809	ITGA11	integrin subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:6136]	protein_coding	15	68296533	68432162	-1
ENSG00000137812	KNL1	kinetochore scaffold 1 [Source:HGNC Symbol;Acc:HGNC:24054]	protein_coding	15	40594020	40664342	1
ENSG00000137814	HAUS2	HAUS augmin like complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25530]	protein_coding	15	42548810	42569994	1
ENSG00000137815	RTF1	RTF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:28996]	protein_coding	15	41408408	41483563	1
ENSG00000137817	PARP6	poly(ADP-ribose) polymerase family member 6 [Source:HGNC Symbol;Acc:HGNC:26921]	protein_coding	15	72241181	72272999	-1
ENSG00000137818	RPLP1	ribosomal protein lateral stalk subunit P1 [Source:HGNC Symbol;Acc:HGNC:10372]	protein_coding	15	69452784	69456194	1
ENSG00000137819	PAQR5	progestin and adipoQ receptor family member 5 [Source:HGNC Symbol;Acc:HGNC:29645]	protein_coding	15	69298947	69407780	1
ENSG00000137821	LRRC49	leucine rich repeat containing 49 [Source:HGNC Symbol;Acc:HGNC:25965]	protein_coding	15	70853239	71053657	1
ENSG00000137822	TUBGCP4	tubulin gamma complex associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16691]	protein_coding	15	43369221	43409771	1
ENSG00000137824	RMDN3	regulator of microtubule dynamics 3 [Source:HGNC Symbol;Acc:HGNC:25550]	protein_coding	15	40735884	40755851	-1
ENSG00000137831	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:HGNC Symbol;Acc:HGNC:15947]	protein_coding	15	70654554	70763593	-1
ENSG00000137834	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	protein_coding	15	66702228	66782848	1
ENSG00000137842	TMEM62	transmembrane protein 62 [Source:HGNC Symbol;Acc:HGNC:26269]	protein_coding	15	43123279	43185146	1
ENSG00000137845	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	protein_coding	15	58588807	58749978	-1
ENSG00000137869	CYP19A1	cytochrome P450 family 19 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2594]	protein_coding	15	51208057	51338610	-1
ENSG00000137871	ZNF280D	zinc finger protein 280D [Source:HGNC Symbol;Acc:HGNC:25953]	protein_coding	15	56630181	56734086	-1
ENSG00000137872	SEMA6D	semaphorin 6D [Source:HGNC Symbol;Acc:HGNC:16770]	protein_coding	15	47184101	47774223	1
ENSG00000137876	RSL24D1	ribosomal L24 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18479]	protein_coding	15	55180806	55197067	-1
ENSG00000137936	BCAR3	BCAR3, NSP family adaptor protein [Source:HGNC Symbol;Acc:HGNC:973]	protein_coding	1	93561786	93847150	-1
ENSG00000137941	TTLL7	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	protein_coding	1	83865028	83999150	-1
ENSG00000137942	FNBP1L	formin binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:20851]	protein_coding	1	93448131	93554661	1
ENSG00000137944	KYAT3	kynurenine aminotransferase 3 [Source:HGNC Symbol;Acc:HGNC:33238]	protein_coding	1	88935773	88992953	-1
ENSG00000137947	GTF2B	general transcription factor IIB [Source:HGNC Symbol;Acc:HGNC:4648]	protein_coding	1	88852932	88891944	-1
ENSG00000137955	RABGGTB	Rab geranylgeranyltransferase beta subunit [Source:HGNC Symbol;Acc:HGNC:9796]	protein_coding	1	75786197	75795079	1
ENSG00000137959	IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	protein_coding	1	78619922	78646145	1
ENSG00000137962	ARHGAP29	Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207]	protein_coding	1	94148988	94275068	-1
ENSG00000137965	IFI44	interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]	protein_coding	1	78649796	78664078	1
ENSG00000137970	RPL7P9	ribosomal protein L7 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:37028]	processed_pseudogene	1	96678874	96679620	-1
ENSG00000137975	CLCA2	chloride channel accessory 2 [Source:HGNC Symbol;Acc:HGNC:2016]	protein_coding	1	86424086	86456558	1
ENSG00000137992	DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]	protein_coding	1	100186919	100249834	-1
ENSG00000137996	RTCA	RNA 3'-terminal phosphate cyclase [Source:HGNC Symbol;Acc:HGNC:17981]	protein_coding	1	100266207	100292769	1
ENSG00000138002	IFT172	intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]	protein_coding	2	27444371	27489789	-1
ENSG00000138018	SELENOI	selenoprotein I [Source:HGNC Symbol;Acc:HGNC:29361]	protein_coding	2	26308547	26395891	1
ENSG00000138028	CGREF1	cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962]	protein_coding	2	27098889	27119115	-1
ENSG00000138029	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803]	protein_coding	2	26243170	26290468	1
ENSG00000138030	KHK	ketohexokinase [Source:HGNC Symbol;Acc:HGNC:6315]	protein_coding	2	27086747	27100772	1
ENSG00000138031	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	protein_coding	2	24819169	24919839	-1
ENSG00000138032	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B [Source:HGNC Symbol;Acc:HGNC:9276]	protein_coding	2	44167969	44244384	1
ENSG00000138035	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	protein_coding	2	55634265	55693910	-1
ENSG00000138036	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:24595]	protein_coding	2	43774039	43810010	1
ENSG00000138050	THUMPD2	THUMP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14890]	protein_coding	2	39736060	39779267	-1
ENSG00000138061	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	protein_coding	2	38066973	38109902	-1
ENSG00000138069	RAB1A	RAB1A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9758]	protein_coding	2	65070701	65130106	-1
ENSG00000138071	ACTR2	ARP2 actin related protein 2 homolog [Source:HGNC Symbol;Acc:HGNC:169]	protein_coding	2	65227753	65271253	1
ENSG00000138073	PREB	prolactin regulatory element binding [Source:HGNC Symbol;Acc:HGNC:9356]	protein_coding	2	27130756	27134675	-1
ENSG00000138074	SLC5A6	solute carrier family 5 member 6 [Source:HGNC Symbol;Acc:HGNC:11041]	protein_coding	2	27199587	27212958	-1
ENSG00000138078	PREPL	prolyl endopeptidase like [Source:HGNC Symbol;Acc:HGNC:30228]	protein_coding	2	44316281	44361862	-1
ENSG00000138080	EMILIN1	elastin microfibril interfacer 1 [Source:HGNC Symbol;Acc:HGNC:19880]	protein_coding	2	27078567	27086408	1
ENSG00000138081	FBXO11	F-box protein 11 [Source:HGNC Symbol;Acc:HGNC:13590]	protein_coding	2	47789316	47905793	-1
ENSG00000138085	ATRAID	all-trans retinoic acid induced differentiation factor [Source:HGNC Symbol;Acc:HGNC:24090]	protein_coding	2	27212027	27217178	1
ENSG00000138092	CENPO	centromere protein O [Source:HGNC Symbol;Acc:HGNC:28152]	protein_coding	2	24793136	24822376	1
ENSG00000138095	LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	protein_coding	2	43886508	43996005	-1
ENSG00000138101	DTNB	dystrobrevin beta [Source:HGNC Symbol;Acc:HGNC:3058]	protein_coding	2	25377198	25673647	-1
ENSG00000138107	ACTR1A	ARP1 actin related protein 1 homolog A [Source:HGNC Symbol;Acc:HGNC:167]	protein_coding	10	102461881	102502711	-1
ENSG00000138111	MFSD13A	major facilitator superfamily domain containing 13A [Source:HGNC Symbol;Acc:HGNC:26196]	protein_coding	10	102461395	102477045	1
ENSG00000138119	MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	protein_coding	10	93306429	93482317	-1
ENSG00000138131	LOXL4	lysyl oxidase like 4 [Source:HGNC Symbol;Acc:HGNC:17171]	protein_coding	10	98247690	98268250	-1
