Gene stable ID	Gene start (bp)	Gene end (bp)	Strand	Gene name	Gene type	Gene description	Chromosome/scaffold name
ENSDARG00000097800	28822396	28826800	1	CR788235.1	lincRNA		17
ENSDARG00000062904	9046813	9069365	1	idua	protein_coding	iduronidase, alpha-L- [Source:ZFIN;Acc:ZDB-GENE-060526-29]	5
ENSDARG00000055479	25556922	25571865	-1	mmp20b	protein_coding	matrix metallopeptidase 20b (enamelysin) [Source:ZFIN;Acc:ZDB-GENE-100603-3]	15
ENSDARG00000101436	24597711	24649527	1	AL831745.3	lincRNA		13
ENSDARG00000093376	22590623	22598002	-1	si:ch211-28e16.5	protein_coding	si:ch211-28e16.5 [Source:ZFIN;Acc:ZDB-GENE-090313-111]	23
ENSDARG00000008858	42135719	42152135	1	cyp7b1	protein_coding	cytochrome P450, family 7, subfamily B, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-070912-293]	2
ENSDARG00000036298	27041315	27044013	1	rps13	protein_coding	ribosomal protein S13 [Source:ZFIN;Acc:ZDB-GENE-040625-52]	7
ENSDARG00000045355	12983434	12988849	1	eloca	protein_coding	elongin C paralog a [Source:ZFIN;Acc:ZDB-GENE-040912-120]	24
ENSDARG00000032985	21684239	21688087	1	mrpl27	protein_coding	mitochondrial ribosomal protein L27 [Source:ZFIN;Acc:ZDB-GENE-050522-129]	12
ENSDARG00000090670	41032961	41059919	-1	si:dkey-201i6.8	protein_coding	si:dkey-201i6.8 [Source:ZFIN;Acc:ZDB-GENE-100922-83]	16
ENSDARG00000094022	24602410	24606627	-1	AL831745.2	antisense	uncharacterized LOC110440182 [Source:NCBI gene;Acc:110440182]	13
ENSDARG00000054741	39679767	39702345	-1	prkg2	protein_coding	protein kinase cGMP-dependent 2 [Source:ZFIN;Acc:ZDB-GENE-060531-80]	5
ENSDARG00000086450	18953575	18965502	1	tdg.2	protein_coding	thymine DNA glycosylase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-131121-30]	25
ENSDARG00000018902	12836913	12865386	1	pes	protein_coding	pescadillo [Source:ZFIN;Acc:ZDB-GENE-990415-206]	5
ENSDARG00000055659	34148714	34162374	1	gpr161	protein_coding	G protein-coupled receptor 161 [Source:ZFIN;Acc:ZDB-GENE-030616-58]	9
ENSDARG00000058644	7621622	7655301	-1	dnajb2	protein_coding	DnaJ heat shock protein family (Hsp40) member B2 [Source:ZFIN;Acc:ZDB-GENE-061013-537]	9
ENSDARG00000054942	28953274	28961518	1	lgals2a	protein_coding	lectin, galactoside-binding, soluble, 2a [Source:ZFIN;Acc:ZDB-GENE-050318-2]	3
ENSDARG00000110775	40507526	40508557	-1	taar20b1	protein_coding	trace amine associated receptor 20b1 [Source:ZFIN;Acc:ZDB-GENE-060413-5]	10
ENSDARG00000062226	13207139	13254851	1	ino80db	protein_coding	INO80 complex subunit Db [Source:ZFIN;Acc:ZDB-GENE-070112-2072]	6
ENSDARG00000079703	30387916	30392745	1	si:dkey-18p12.4	protein_coding	si:dkey-18p12.4 [Source:ZFIN;Acc:ZDB-GENE-070912-408]	9
ENSDARG00000097602	2497521	2498941	-1	BX072559.1	lincRNA		20
ENSDARG00000092787	26998414	26999482	-1	si:dkey-88p24.11	protein_coding	si:dkey-88p24.11 [Source:ZFIN;Acc:ZDB-GENE-030131-8991]	10
ENSDARG00000010186	6161037	6260333	-1	myo3a	protein_coding	myosin IIIA [Source:ZFIN;Acc:ZDB-GENE-041026-4]	24
ENSDARG00000102301	33885528	33886579	1	CR855379.3	lincRNA		15
ENSDARG00000036031	43936252	43964028	-1	sept5b	protein_coding	septin 5b [Source:ZFIN;Acc:ZDB-GENE-040808-43]	10
ENSDARG00000040163	17839187	17848907	1	prim1	protein_coding	DNA primase subunit 1 [Source:ZFIN;Acc:ZDB-GENE-990603-6]	23
ENSDARG00000029830	21717793	21720943	1	myf6	protein_coding	myogenic factor 6 [Source:ZFIN;Acc:ZDB-GENE-040309-2]	4
ENSDARG00000095463	45316063	45320126	-1	si:ch73-90k17.1	protein_coding	si:ch73-90k17.1 [Source:ZFIN;Acc:ZDB-GENE-090312-218]	1
ENSDARG00000061024	1702624	1726560	1	rabggta	protein_coding	Rab geranylgeranyltransferase subunit alpha [Source:ZFIN;Acc:ZDB-GENE-060929-1042]	23
ENSDARG00000076913	21669385	21684255	-1	eme1	protein_coding	essential meiotic structure-specific endonuclease 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3191]	12
ENSDARG00000068152	26649860	26715655	-1	malt3	protein_coding	MALT paracaspase 3 [Source:ZFIN;Acc:ZDB-GENE-050419-182]	18
ENSDARG00000100257	57855379	57869437	-1	zgc:174314	protein_coding	zgc:174314 [Source:ZFIN;Acc:ZDB-GENE-080213-5]	4
ENSDARG00000092062	41042310	41054232	1	BX511123.2	unprocessed_pseudogene		16
ENSDARG00000095610	27000562	27002041	-1	BX248510.2	processed_transcript	uncharacterized LOC108191553 [Source:NCBI gene;Acc:108191553]	10
ENSDARG00000109654	20613466	20614431	1	si:ch211-240b21.4	protein_coding	si:ch211-240b21.4 [Source:ZFIN;Acc:ZDB-GENE-060526-127]	5
ENSDARG00000079915	27405738	27492004	1	pot1	protein_coding	protection of telomeres 1 homolog [Source:ZFIN;Acc:ZDB-GENE-110324-1]	25
ENSDARG00000054154	29240124	29270362	1	bms1	protein_coding	BMS1 ribosome biogenesis factor [Source:ZFIN;Acc:ZDB-GENE-060720-2]	12
ENSDARG00000045626	15479442	15514013	1	nek8	protein_coding	NIMA-related kinase 8 [Source:ZFIN;Acc:ZDB-GENE-020509-1]	15
ENSDARG00000094490	40513612	40514643	-1	taar19k	protein_coding	trace amine associated receptor 19k [Source:ZFIN;Acc:ZDB-GENE-091116-71]	10
ENSDARG00000097485	43595692	43613566	1	cfap99	protein_coding	cilia and flagella associated protein 99 [Source:ZFIN;Acc:ZDB-GENE-161107-1]	17
ENSDARG00000006074	21114338	21133119	1	uck2a	protein_coding	uridine-cytidine kinase 2a [Source:ZFIN;Acc:ZDB-GENE-030131-7158]	8
ENSDARG00000093354	46736682	46739927	-1	si:ch211-57i17.2	protein_coding	si:ch211-57i17.2 [Source:ZFIN;Acc:ZDB-GENE-041014-258]	20
ENSDARG00000010255	38879961	38894366	1	bin2b	protein_coding	bridging integrator 2b [Source:ZFIN;Acc:ZDB-GENE-030131-5598]	6
ENSDARG00000098363	12411196	12416071	-1	BX901957.1	lincRNA	si:ch211-150g5.4 [Source:NCBI gene;Acc:100536666]	15
ENSDARG00000060312	5565641	5624456	-1	wdr62	protein_coding	WD repeat domain 62 [Source:ZFIN;Acc:ZDB-GENE-060503-291]	15
ENSDARG00000093747	38990661	38991772	1	si:dkey-122c11.1	protein_coding	si:dkey-122c11.1 [Source:ZFIN;Acc:ZDB-GENE-060531-74]	4
ENSDARG00000053483	43450221	43474757	1	zgc:113054	protein_coding	zgc:113054 [Source:ZFIN;Acc:ZDB-GENE-050320-9]	6
ENSDARG00000087784	7595356	7617558	1	si:dkeyp-110a12.4	protein_coding	si:dkeyp-110a12.4 [Source:ZFIN;Acc:ZDB-GENE-131121-498]	17
ENSDARG00000060865	31995683	32046297	1	scai	protein_coding	suppressor of cancer cell invasion [Source:ZFIN;Acc:ZDB-GENE-060526-57]	5
ENSDARG00000100547	11338375	11363493	-1	CR383680.1	unprocessed_pseudogene	MAP7 domain-containing protein 1-like [Source:NCBI gene;Acc:103912069]	14
ENSDARG00000091206	41034317	41035035	-1	BX511123.1	processed_transcript		16
ENSDARG00000038787	32561183	32574944	-1	tmub1	protein_coding	transmembrane and ubiquitin-like domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2504]	2
ENSDARG00000091003	18527170	18543358	-1	il34	protein_coding	interleukin 34 [Source:ZFIN;Acc:ZDB-GENE-050419-150]	18
ENSDARG00000091348	17716601	17757529	1	rtn3	protein_coding	reticulon 3 [Source:ZFIN;Acc:ZDB-GENE-030710-5]	7
ENSDARG00000035686	9684479	9700640	1	mon1ba	protein_coding	MON1 secretory trafficking family member Ba [Source:ZFIN;Acc:ZDB-GENE-081104-318]	8
ENSDARG00000043553	16477570	16548912	-1	ches1	protein_coding	checkpoint suppressor 1 [Source:ZFIN;Acc:ZDB-GENE-040217-1]	20
ENSDARG00000013004	18964782	18978083	1	tdg.1	protein_coding	thymine DNA glycosylase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050522-44]	25
ENSDARG00000075942	26460444	26675699	-1	FRMD5	protein_coding	si:ch211-69m14.1 [Source:ZFIN;Acc:ZDB-GENE-050419-226]	18
ENSDARG00000013892	21541010	21669618	-1	sorl1	protein_coding	sortilin-related receptor, L(DLR class) A repeats containing [Source:ZFIN;Acc:ZDB-GENE-050208-22]	15
ENSDARG00000053558	43610894	43623370	-1	rtkn2a	protein_coding	rhotekin 2a [Source:ZFIN;Acc:ZDB-GENE-041010-225]	17
ENSDARG00000037421	21332522	21336385	-1	egr1	protein_coding	early growth response 1 [Source:ZFIN;Acc:ZDB-GENE-980526-320]	14
ENSDARG00000022260	46741074	46759519	1	si:ch211-57i17.1	protein_coding	si:ch211-57i17.1 [Source:ZFIN;Acc:ZDB-GENE-041014-259]	20
ENSDARG00000061517	36314867	36694998	1	lrp1bb	protein_coding	low density lipoprotein receptor-related protein 1Bb [Source:ZFIN;Acc:ZDB-GENE-070912-401]	9
ENSDARG00000100601	14827374	14829324	-1	CU019562.1	lincRNA		11
ENSDARG00000091782	48405272	48406205	-1	BX890608.2	processed_transcript		2
ENSDARG00000005513	17865554	17876777	1	naca	protein_coding	nascent polypeptide associated complex subunit alpha [Source:ZFIN;Acc:ZDB-GENE-020423-4]	23
ENSDARG00000036058	29133321	29144547	1	gnao1b	protein_coding	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O, b [Source:ZFIN;Acc:ZDB-GENE-040426-1693]	7
ENSDARG00000078078	60551133	60598313	1	lrfn4b	protein_coding	leucine rich repeat and fibronectin type III domain containing 4b [Source:ZFIN;Acc:ZDB-GENE-070705-473]	7
ENSDARG00000009868	12963119	12983829	-1	dcaf11	protein_coding	ddb1 and cul4 associated factor 11 [Source:ZFIN;Acc:ZDB-GENE-050809-116]	24
ENSDARG00000077035	10817675	10822175	1	pimr177	protein_coding	Pim proto-oncogene, serine/threonine kinase, related 177 [Source:ZFIN;Acc:ZDB-GENE-131119-92]	17
ENSDARG00000056078	32312920	32343673	-1	rftn2	protein_coding	raftlin family member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2760]	9
ENSDARG00000078613	12966640	12968021	1	vhll	protein_coding	von Hippel-Lindau tumor suppressor like [Source:ZFIN;Acc:ZDB-GENE-081022-78]	4
ENSDARG00000005595	31929377	32007209	-1	adgb	protein_coding	androglobin [Source:ZFIN;Acc:ZDB-GENE-041001-205]	20
ENSDARG00000090230	9744012	9873206	1	tmem108	protein_coding	transmembrane protein 108 [Source:ZFIN;Acc:ZDB-GENE-091204-397]	24
ENSDARG00000035958	39399747	39406763	1	tnni2b.1	protein_coding	troponin I type 2b (skeletal, fast), tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050417-49]	7
ENSDARG00000091734	36877968	36901130	1	traf3ip2l	protein_coding	TRAF3 interacting protein 2-like [Source:ZFIN;Acc:ZDB-GENE-110919-1]	6
ENSDARG00000016253	21608352	21618629	-1	ralab	protein_coding	v-ral simian leukemia viral oncogene homolog Ab (ras related) [Source:ZFIN;Acc:ZDB-GENE-041114-195]	2
ENSDARG00000069600	23495986	23543642	1	zgc:109889	protein_coding	zgc:109889 [Source:ZFIN;Acc:ZDB-GENE-050522-547]	7
ENSDARG00000029058	30999833	31007417	-1	rbbp4	protein_coding	retinoblastoma binding protein 4 [Source:ZFIN;Acc:ZDB-GENE-030131-445]	19
ENSDARG00000093663	29444452	29445719	1	CT573186.1	lincRNA		1
ENSDARG00000058873	4373336	4390318	1	ptpdc1b	protein_coding	protein tyrosine phosphatase domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-090312-138]	23
ENSDARG00000051939	60457138	60831105	-1	pcxb	protein_coding	pyruvate carboxylase b [Source:ZFIN;Acc:ZDB-GENE-000831-1]	7
ENSDARG00000053575	41035230	41173369	1	gpat2	protein_coding	glycerol-3-phosphate acyltransferase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-050309-118]	8
ENSDARG00000077297	27213733	27229858	1	nbr1a	protein_coding	neighbor of brca1 gene 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9112]	12
ENSDARG00000098244	57887079	57892787	-1	CR388206.1	antisense		4
ENSDARG00000103019	3495542	3503708	1	gstp2	protein_coding	glutathione S-transferase pi 2 [Source:ZFIN;Acc:ZDB-GENE-050601-1]	14
ENSDARG00000096555	29451465	29452733	1	CT573186.2	lincRNA		1
ENSDARG00000076568	27224068	27231659	1	sec61b	protein_coding	Sec61 translocon beta subunit [Source:ZFIN;Acc:ZDB-GENE-040718-260]	16
ENSDARG00000090630	4196493	4199728	-1	si:dkey-32n7.8	protein_coding	si:dkey-32n7.8 [Source:ZFIN;Acc:ZDB-GENE-121214-326]	12
ENSDARG00000100715	3878492	3924723	-1	tlk1b	protein_coding	tousled-like kinase 1b [Source:ZFIN;Acc:ZDB-GENE-030131-4933]	6
ENSDARG00000044001	10824659	10838434	-1	lgals3b	protein_coding	lectin, galactoside binding soluble 3b [Source:ZFIN;Acc:ZDB-GENE-030131-4324]	17
ENSDARG00000111959	57881965	57887337	1	si:dkeyp-44b5.4	protein_coding	si:dkeyp-44b5.4 [Source:ZFIN;Acc:ZDB-GENE-120709-63]	4
ENSDARG00000045019	59913147	59922078	1	aamp	protein_coding	angio-associated, migratory cell protein [Source:ZFIN;Acc:ZDB-GENE-040426-2370]	6
ENSDARG00000091560	684502	704000	-1	slc6a19a.2	protein_coding	solute carrier family 6 (neutral amino acid transporter), member 19a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-141210-16]	19
ENSDARG00000006383	27415754	27649406	-1	stxbp5l	protein_coding	syntaxin binding protein 5-like [Source:ZFIN;Acc:ZDB-GENE-041210-220]	9
ENSDARG00000003808	43006422	43011814	1	aqp3a	protein_coding	aquaporin 3a [Source:ZFIN;Acc:ZDB-GENE-040426-2826]	5
ENSDARG00000093627	22596726	22599593	1	BX537143.1	antisense		11
ENSDARG00000103091	57880688	57884084	-1	si:dkey-19h16.8	protein_coding	si:dkey-19h16.8 [Source:ZFIN;Acc:ZDB-GENE-110914-233]	4
ENSDARG00000039699	19766896	19799824	-1	fam204a	protein_coding	family with sequence similarity 204 member A [Source:ZFIN;Acc:ZDB-GENE-040718-271]	13
ENSDARG00000009438	22592935	22605981	-1	myog	protein_coding	myogenin [Source:ZFIN;Acc:ZDB-GENE-980526-265]	11
ENSDARG00000018404	10347851	10351754	1	krt18a.1	protein_coding	keratin 18a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030411-6]	23
ENSDARG00000015471	36844127	36877587	1	chd1l	protein_coding	chromodomain helicase DNA binding protein 1-like [Source:ZFIN;Acc:ZDB-GENE-040426-892]	6
ENSDARG00000079440	33279108	33341921	1	coro2ba	protein_coding	coronin, actin binding protein, 2Ba [Source:ZFIN;Acc:ZDB-GENE-050518-1]	7
ENSDARG00000060683	32865364	32882162	-1	lrsam1	protein_coding	leucine rich repeat and sterile alpha motif containing 1 [Source:ZFIN;Acc:ZDB-GENE-060526-97]	5
ENSDARG00000075253	7064819	7161877	1	pik3cb	protein_coding	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta [Source:ZFIN;Acc:ZDB-GENE-030131-1904]	15
ENSDARG00000103006	375042	382616	1	si:ch1073-303d10.1	protein_coding	si:ch1073-303d10.1 [Source:ZFIN;Acc:ZDB-GENE-141216-327]	10
ENSDARG00000071841	4201826	4206869	-1	si:dkey-32n7.9	protein_coding	si:dkey-32n7.9 [Source:ZFIN;Acc:ZDB-GENE-121214-356]	12
ENSDARG00000027620	26121393	26130527	1	bco2l	protein_coding	beta-carotene 15, 15-dioxygenase 2, like [Source:ZFIN;Acc:ZDB-GENE-010509-1]	5
ENSDARG00000093382	27006266	27009584	-1	uqcc3	protein_coding	ubiquinol-cytochrome c reductase complex assembly factor 3 [Source:ZFIN;Acc:ZDB-GENE-030131-8451]	10
ENSDARG00000008805	49313504	49339681	-1	orc3	protein_coding	origin recognition complex, subunit 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6247]	17
ENSDARG00000102607	65040228	65062719	1	pmpca	protein_coding	peptidase (mitochondrial processing) alpha [Source:ZFIN;Acc:ZDB-GENE-030131-5809]	5
ENSDARG00000019404	18766061	18779232	-1	atp5f1d	protein_coding	ATP synthase F1 subunit delta [Source:ZFIN;Acc:ZDB-GENE-030131-7649]	22
ENSDARG00000057918	17301790	17339832	1	tsc1b	protein_coding	TSC complex subunit 1b [Source:ZFIN;Acc:ZDB-GENE-030131-3404]	21
ENSDARG00000032126	29471151	29475172	-1	scg5	protein_coding	secretogranin V [Source:ZFIN;Acc:ZDB-GENE-040426-1687]	20
ENSDARG00000095206	14989079	14996705	1	BX649610.1	processed_transcript		18
ENSDARG00000056228	25560556	25632090	1	pld1a	protein_coding	phospholipase D1a [Source:ZFIN;Acc:ZDB-GENE-031002-2]	2
ENSDARG00000063040	14956165	15104858	-1	btbd11b	protein_coding	BTB (POZ) domain containing 11b [Source:ZFIN;Acc:ZDB-GENE-050419-99]	18
ENSDARG00000019532	4133488	4148719	-1	fads2	protein_coding	fatty acid desaturase 2 [Source:ZFIN;Acc:ZDB-GENE-011212-1]	25
ENSDARG00000087070	39055027	39069529	1	znf977	protein_coding	zinc finger protein 977 [Source:ZFIN;Acc:ZDB-GENE-110913-138]	4
ENSDARG00000039602	11768114	11768889	-1	atoh1c	protein_coding	atonal bHLH transcription factor 1c [Source:ZFIN;Acc:ZDB-GENE-090805-1]	12
ENSDARG00000037961	32535986	32541072	-1	rcn3	protein_coding	reticulocalbin 3, EF-hand calcium binding domain [Source:ZFIN;Acc:ZDB-GENE-040625-175]	3
ENSDARG00000053082	8892784	8953947	1	thada	protein_coding	thyroid adenoma associated [Source:ZFIN;Acc:ZDB-GENE-050320-49]	13
ENSDARG00000095380	60590632	60593462	1	BX294163.1	processed_transcript		7
ENSDARG00000025032	23746710	23801389	-1	nr3c1	protein_coding	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) [Source:ZFIN;Acc:ZDB-GENE-050522-503]	14
ENSDARG00000016156	46883785	46937956	1	fam53b	protein_coding	family with sequence similarity 53 member B [Source:ZFIN;Acc:ZDB-GENE-040426-2495]	12
ENSDARG00000060646	38914983	38929371	1	senp5	protein_coding	SUMO specific peptidase 5 [Source:ZFIN;Acc:ZDB-GENE-050208-772]	22
ENSDARG00000097882	15044307	15176028	-1	CR936518.2	lincRNA		5
ENSDARG00000009459	7901012	7913591	-1	slc35e4	protein_coding	solute carrier family 35, member E4 [Source:ZFIN;Acc:ZDB-GENE-050417-407]	10
ENSDARG00000089066	51467822	51627019	-1	nhsl2	protein_coding	NHS-like 2 [Source:ZFIN;Acc:ZDB-GENE-130530-951]	7
ENSDARG00000052455	22544290	22558773	-1	porcnl	protein_coding	porcupine O-acyltransferase like [Source:ZFIN;Acc:ZDB-GENE-030131-5931]	8
ENSDARG00000034105	16548733	16619858	1	mtus1b	protein_coding	microtubule associated tumor suppressor 1b [Source:ZFIN;Acc:ZDB-GENE-070619-5]	1
ENSDARG00000103117	12429206	12459335	1	tmprss4a	protein_coding	transmembrane serine protease 4a [Source:ZFIN;Acc:ZDB-GENE-061103-631]	15
ENSDARG00000029795	40622310	40647237	-1	prxl2b	protein_coding	peroxiredoxin like 2B [Source:ZFIN;Acc:ZDB-GENE-040426-2556]	11
ENSDARG00000026835	47428721	47450004	1	slc25a32b	protein_coding	solute carrier family 25 (mitochondrial folate carrier), member 32b [Source:ZFIN;Acc:ZDB-GENE-050306-39]	16
ENSDARG00000070399	27215938	27224246	-1	alg2	protein_coding	asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase) [Source:ZFIN;Acc:ZDB-GENE-060502-2]	16
ENSDARG00000061819	20627200	20678300	-1	wscd2	protein_coding	WSC domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-060526-124]	5
ENSDARG00000044688	20113470	20120543	-1	dusp4	protein_coding	dual specificity phosphatase 4 [Source:ZFIN;Acc:ZDB-GENE-040426-709]	21
ENSDARG00000052386	52481332	52486995	1	cldnd1b	protein_coding	claudin domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-040808-4]	1
ENSDARG00000093224	20433812	20436515	1	CR456628.1	processed_transcript		9
ENSDARG00000094747	17484851	17489040	-1	si:ch211-197g15.6	protein_coding	si:ch211-197g15.6 [Source:ZFIN;Acc:ZDB-GENE-050208-457]	22
ENSDARG00000100799	11366695	11374026	-1	CR381540.1	unprocessed_pseudogene		14
ENSDARG00000096662	695619	786808	1	abcc3	protein_coding	ATP-binding cassette, sub-family C (CFTR/MRP), member 3 [Source:ZFIN;Acc:ZDB-GENE-050517-16]	12
ENSDARG00000101786	5560040	5569012	1	si:ch211-134a4.6	protein_coding	si:ch211-134a4.6 [Source:ZFIN;Acc:ZDB-GENE-131127-380]	21
ENSDARG00000097338	44400757	44418551	1	BX000434.1	antisense		6
ENSDARG00000096479	18876733	18878978	1	CU914550.1	antisense	si:dkey-4m13.3 [Source:NCBI gene;Acc:103909750]	24
ENSDARG00000034427	15893039	15902229	1	jpt2	protein_coding	Jupiter microtubule associated homolog 2 [Source:ZFIN;Acc:ZDB-GENE-030131-599]	3
ENSDARG00000041361	5110455	5143176	-1	ttk	protein_coding	ttk protein kinase [Source:ZFIN;Acc:ZDB-GENE-030123-1]	16
ENSDARG00000073869	44243070	44402358	-1	pdzrn3b	protein_coding	PDZ domain containing RING finger 3b [Source:ZFIN;Acc:ZDB-GENE-071022-4]	6
ENSDARG00000063474	18736916	18877118	-1	arfgef1	protein_coding	ADP-ribosylation factor guanine nucleotide-exchange factor 1 (brefeldin A-inhibited) [Source:ZFIN;Acc:ZDB-GENE-030131-108]	24
ENSDARG00000093275	40516749	40517598	-1	BX530037.3	unprocessed_pseudogene		10
ENSDARG00000087197	15247086	15274648	-1	ros1	protein_coding	c-ros oncogene 1 , receptor tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-020506-1]	17
ENSDARG00000089742	53686995	53700392	-1	fam161a	protein_coding	FAM161A, centrosomal protein [Source:ZFIN;Acc:ZDB-GENE-110310-1]	1
ENSDARG00000102556	67325933	67421313	1	nfat5b	protein_coding	nuclear factor of activated T cells 5b [Source:ZFIN;Acc:ZDB-GENE-140106-7]	7
ENSDARG00000005629	572037	592746	1	smyd2b	protein_coding	SET and MYND domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-041001-201]	20
ENSDARG00000041848	37259398	37263524	-1	rh50	protein_coding	Rh50-like protein [Source:ZFIN;Acc:ZDB-GENE-000427-1]	8
ENSDARG00000037870	40526107	40529804	-1	actb2	protein_coding	actin, beta 2 [Source:ZFIN;Acc:ZDB-GENE-000329-3]	3
ENSDARG00000095689	38914983	38919218	1	AL953867.2	processed_transcript		22
ENSDARG00000055225	30325902	30424182	-1	dock8	protein_coding	dedicator of cytokinesis 8 [Source:ZFIN;Acc:ZDB-GENE-060503-743]	8
ENSDARG00000104286	14862286	14863542	1	CU019562.3	lincRNA		11
ENSDARG00000100604	32135370	32139894	-1	olfcw1	protein_coding	olfactory receptor C family, w1 [Source:ZFIN;Acc:ZDB-GENE-050522-281]	18
ENSDARG00000007277	21741228	21745107	1	myf5	protein_coding	myogenic factor 5 [Source:ZFIN;Acc:ZDB-GENE-000616-6]	4
ENSDARG00000105047	5575027	5578101	-1	BX927369.1	lincRNA		21
ENSDARG00000060951	8477843	8513255	-1	polg	protein_coding	polymerase (DNA directed), gamma [Source:ZFIN;Acc:ZDB-GENE-060303-1]	25
ENSDARG00000076542	38119004	38136670	1	pogzb	protein_coding	pogo transposable element derived with ZNF domain b [Source:ZFIN;Acc:ZDB-GENE-100609-3]	16
ENSDARG00000054224	32028367	32354721	-1	ipo11	protein_coding	importin 11 [Source:ZFIN;Acc:ZDB-GENE-040711-1]	8
ENSDARG00000002949	31983098	31995401	1	ppp6c	protein_coding	protein phosphatase 6, catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-040426-949]	5
ENSDARG00000044161	12112384	12833736	1	grid1b	protein_coding	glutamate receptor, ionotropic, delta 1b [Source:ZFIN;Acc:ZDB-GENE-121214-84]	12
ENSDARG00000094791	27411502	27416612	1	si:dkey-193n17.9	protein_coding	si:dkey-193n17.9 [Source:ZFIN;Acc:ZDB-GENE-070912-421]	9
ENSDARG00000037958	32532000	32536378	1	nosip	protein_coding	nitric oxide synthase interacting protein [Source:ZFIN;Acc:ZDB-GENE-041114-146]	3
ENSDARG00000074527	21514777	21563774	1	chst15	protein_coding	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15 [Source:ZFIN;Acc:ZDB-GENE-131127-327]	17
ENSDARG00000067741	35429333	35459996	-1	itpkcb	protein_coding	inositol-trisphosphate 3-kinase Cb [Source:ZFIN;Acc:ZDB-GENE-080225-27]	18
ENSDARG00000024311	28785814	28796637	1	nsmce4a	protein_coding	NSE4 homolog A, SMC5-SMC6 complex component [Source:ZFIN;Acc:ZDB-GENE-050522-111]	13
ENSDARG00000040130	42464009	42470156	1	si:ch211-215k15.4	protein_coding	si:ch211-215k15.4 [Source:ZFIN;Acc:ZDB-GENE-131127-215]	16
ENSDARG00000101381	14902709	14904977	1	CU019562.2	lincRNA		11
ENSDARG00000052673	47389539	47427016	-1	sept7b	protein_coding	septin 7b [Source:ZFIN;Acc:ZDB-GENE-030131-37]	16
ENSDARG00000094870	40520823	40521100	-1	CR396590.6	unprocessed_pseudogene		10
ENSDARG00000062134	21067389	21114732	1	kcnab2b	protein_coding	potassium voltage-gated channel, shaker-related subfamily, beta member 2 b [Source:ZFIN;Acc:ZDB-GENE-080219-36]	23
ENSDARG00000029621	6065661	6114296	1	sgms1	protein_coding	sphingomyelin synthase 1 [Source:ZFIN;Acc:ZDB-GENE-061103-295]	12
ENSDARG00000054254	40523707	40524741	-1	taar18a	protein_coding	trace amine associated receptor 18a [Source:ZFIN;Acc:ZDB-GENE-100514-5]	10
ENSDARG00000103060	5580948	5587025	1	ly6m7	protein_coding	lymphocyte antigen 6 family member M7 [Source:ZFIN;Acc:ZDB-GENE-131121-290]	21
ENSDARG00000051890	56577522	56585738	1	hp	protein_coding	haptoglobin [Source:ZFIN;Acc:ZDB-GENE-030131-1259]	7
ENSDARG00000015222	18836791	18841071	-1	cbll1	protein_coding	Cbl proto-oncogene-like 1, E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-040426-691]	4
ENSDARG00000070798	6937186	6944927	-1	pmvk	protein_coding	phosphomevalonate kinase [Source:ZFIN;Acc:ZDB-GENE-070410-91]	16
ENSDARG00000001891	9241794	9278252	-1	syt14b	protein_coding	synaptotagmin XIVb [Source:ZFIN;Acc:ZDB-GENE-041014-36]	20
ENSDARG00000056932	17847040	17866100	-1	tfip11	protein_coding	tuftelin interacting protein 11 [Source:ZFIN;Acc:ZDB-GENE-040718-479]	23
ENSDARG00000061896	27624023	27664382	1	slco2a1	protein_coding	solute carrier organic anion transporter family, member 2A1 [Source:ZFIN;Acc:ZDB-GENE-060606-3]	6
ENSDARG00000029546	29469753	29471577	-1	grem1a	protein_coding	gremlin 1a, DAN family BMP antagonist [Source:ZFIN;Acc:ZDB-GENE-040625-1]	20
ENSDARG00000112699	40527237	40528259	-1	taar18g	protein_coding	trace amine associated receptor 18g [Source:ZFIN;Acc:ZDB-GENE-060413-11]	10
